code,name,family,file,size,notes,source
R3-26,,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/U_AND_LEFT_TURNS_DIRECTIONAL_THROUGH_R3-26.svg (was: scale from the drawing's overall width dimension (12.578 in)),Original PDFs/shsd-2012-section1.pdf#page=55
R3-27,TEXAS,Regulatory Signs,,,"same code as the base pack: use Federal (MUTCD 2023)/SVGs/MOVEMENT_PROHIBITION_NO_STRAIGHT_THROUGH_R3-27.svg (was: size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check)",Original PDFs/shsd-2012-section1.pdf#page=56
R3-33R,RIGHT LANE MUST EXIT,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/RIGHT_LANE_MUST_EXIT_R3-33R.svg (was: scale from the drawing's overall height dimension (6.0 in)),Original PDFs/shsd-2012-section1.pdf#page=57
R3-33L,LEFT LANE MUST EXIT,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/LEFT_LANE_MUST_EXIT_R3-33L.svg (was: scaled from the dimensioned R3-33R drawing (thumbnail)),Original PDFs/shsd-2012-section1.pdf#page=57
R3-33TR,RIGHT LANE MUST EXIT,Regulatory Signs,RIGHT_LANE_MUST_EXIT_R3-33TR.svg,48.0x48.0 in,scale from the drawing's overall width dimension (48.0 in),Original PDFs/shsd-2012-section1.pdf#page=58
R3-33TL,LEFT LANE MUST EXIT,Regulatory Signs,LEFT_LANE_MUST_EXIT_R3-33TL.svg,48.0x48.0 in,scaled from the dimensioned R3-33TR drawing (thumbnail),Original PDFs/shsd-2012-section1.pdf#page=58
R3-33aTL,LEFT LANE MUST ENTER RAMP,Regulatory Signs,LEFT_LANE_MUST_ENTER_RAMP_R3-33aTL.svg,48.0x48.0 in,scale from the drawing's overall width dimension (48.0 in),Original PDFs/shsd-2012-section1.pdf#page=59
R3-33bTR,RIGHT LANE MUST ENTER FRWY,Regulatory Signs,RIGHT_LANE_MUST_ENTER_FRWY_R3-33bTR.svg,48.0x48.0 in,no dimension of its own; drawn to the same size as R3-33aTL on the sheet — check,Original PDFs/shsd-2012-section1.pdf#page=59
R3-33bTL,LEFT LANE MUST ENTER FRWY,intervene/Regulatory Signs,LEFT_LANE_MUST_ENTER_FRWY_R3-33bTL.svg,48.0x48.0 in,R3-33bTL is not drawn on the sheet and R3-33bTR carries an outlined legend that cannot be mirrored automatically,Original PDFs/shsd-2012-section1.pdf#page=59
R3-33aTR,RIGHT LANE MUST ENTER RAMP,intervene/Regulatory Signs,RIGHT_LANE_MUST_ENTER_RAMP_R3-33aTR.svg,48.0x48.0 in,R3-33aTR is not drawn on the sheet and R3-33aTL carries an outlined legend that cannot be mirrored automatically,Original PDFs/shsd-2012-section1.pdf#page=59
R3-33cT,,Regulatory Signs,SIGN_R3-33cT.svg,48.0x60.4 in,scale from the drawing's overall width dimension (48.0 in),Original PDFs/shsd-2012-section1.pdf#page=60
R4-1,DO NOT PASS,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/DO_NOT_PASS_R4-1.svg (was: size 24 in: conventional-road row for R4-1 in the 2004/2012 sheets (2024 table has no marker)),Original PDFs/shsd-2012-section1.pdf#page=61
R4-2,PASS WITH CARE,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/PASS_WITH_CARE_R4-2.svg (was: size 24 in: conventional-road row for R4-2 in the 2004/2012 sheets (2024 table has no marker)),Original PDFs/shsd-2012-section1.pdf#page=62
R4-2aT,LEFT LANE FOR PASSING ONLY,Regulatory Signs,LEFT_LANE_FOR_PASSING_ONLY_R4-2aT.svg,29.6x44.9 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in),Original PDFs/shsd-2012-section1.pdf#page=63
R4-3,SLOWER TRAFFIC KEEP RIGHT,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/SLOWER_TRAFFIC_KEEP_RIGHT_R4-3.svg (was: size 24 in: conventional-road row for R4-3 in the 2004/2012 sheets (2024 table has no marker)),Original PDFs/shsd-2012-section1.pdf#page=64
R4-3bT,DO NOT CROSS DOUBLE WHITE LINE,Regulatory Signs,DO_NOT_CROSS_DOUBLE_WHITE_LINE_R4-3bT.svg,36.0x36.0 in,"size 36 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check",Original PDFs/shsd-2012-section1.pdf#page=65
R4-4,ARROW,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/BEGIN_RIGHT_TURN_LANE_YIELD_TO_BIKES_R4-4.svg (was: scale from the drawing's overall width dimension (36.0 in)),Original PDFs/shsd-2012-section1.pdf#page=66
R4-5aT,NO TRUCKS LEFT LANE,Regulatory Signs,NO_TRUCKS_LEFT_LANE_R4-5aT.svg,48.0x59.0 in,scale from the drawing's overall width dimension (48.0 in),Original PDFs/shsd-2012-section1.pdf#page=67
R4-5bT,BEGIN NO TRUCKS LEFT LANE,Regulatory Signs,BEGIN_NO_TRUCKS_LEFT_LANE_R4-5bT.svg,48.0x72.8 in,scale from the drawing's overall width dimension (48.0 in),Original PDFs/shsd-2012-section1.pdf#page=68
R4-5cT,END NO TRUCKS LEFT LANE,Regulatory Signs,END_NO_TRUCKS_LEFT_LANE_R4-5cT.svg,48.0x72.8 in,scale from the drawing's overall width dimension (48.0 in),Original PDFs/shsd-2012-section1.pdf#page=69
R4-7,Keep Right (Symbol),Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/KEEP_RIGHT_R4-7.svg (was: size 24 in: conventional-road row for R4-7 in the 2004/2012 sheets (2024 table has no marker)),Original PDFs/shsd-2012-section1.pdf#page=70
R4-7a,,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/KEEP_RIGHT_R4-7a.svg (was: no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)),Original PDFs/shsd-2012-section1.pdf#page=71
R4-7b,,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/KEEP_RIGHT_R4-7b.svg (was: no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)),Original PDFs/shsd-2012-section1.pdf#page=72
R4-7c,,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/NARROW_KEEP_RIGHT_R4-7c.svg (was: no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)),Original PDFs/shsd-2012-section1.pdf#page=73
R4-8,for arrow design,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/KEEP_LEFT_R4-8.svg (was: no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)),Original PDFs/shsd-2012-section1.pdf#page=74
R4-8a,TEXAS,Regulatory Signs,,,"same code as the base pack: use Federal (MUTCD 2023)/SVGs/KEEP_LEFT_R4-8a.svg (was: size 18 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check)",Original PDFs/shsd-2012-section1.pdf#page=75
R4-8b,TEXAS,Regulatory Signs,,,"same code as the base pack: use Federal (MUTCD 2023)/SVGs/KEEP_LEFT_R4-8b.svg (was: size 18 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check)",Original PDFs/shsd-2012-section1.pdf#page=76
R4-8c,,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/NARROW_KEEP_LEFT_R4-8c.svg (was: no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)),Original PDFs/shsd-2012-section1.pdf#page=77
R4-9,STAY IN LANE,Regulatory Signs,,,same code as the base pack: use Federal (MUTCD 2023)/SVGs/STAY_IN_LANE_R4-9.svg (was: no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)),Original PDFs/shsd-2012-section1.pdf#page=78
